response_id,language_have_worked_with,language_want_to_work_with,database_have_worked_with,database_want_to_work_with,platform_have_worked_with,platform_want_to_work_with,web_framework_have_worked_with,web_framework_want_to_work_with,development_environment_have_worked_with,development_environment_want_to_work_with,ai_model_have_worked_with,ai_model_want_to_work_with
20270,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;Python;Rust;SQL,Assembly;Bash/Shell (all shells);JavaScript;Lua;Python;Rust;SQL,DuckDB;Elasticsearch;H2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Ansible;Cargo;Cloudflare;Composer;Docker;Kubernetes;Maven (build tool);Pip;Podman;Vite;Webpack;Yarn,Ansible;Cargo;Cloudflare;Docker;Maven (build tool),Node.js;Spring Boot;Symfony;Vue.js;Axum,Symfony;Vue.js;Axum,RustRover;Vim;Visual Studio Code,Vim;Visual Studio Code,openAI GPT (chatbot models),
20271,HTML/CSS;Java;JavaScript;Python;SQL,C#;Go;Python;Rust;SQL,PostgreSQL,PostgreSQL,Docker;Heroku;npm;Pacman;Pip;Vite;Yarn,Docker;Pacman;Pip,ASP.NET;Django;Vue.js,ASP.NET Core;Django;Svelte;Vue.js,IntelliJ IDEA;Neovim;Visual Studio;Visual Studio Code,Neovim,openAI GPT (chatbot models),openAI GPT (chatbot models)
20272,Bash/Shell (all shells);JavaScript;Lua;Python;SQL,Bash/Shell (all shells);Go;Java;JavaScript;Lua;Python,PostgreSQL;Redis;SQLite;Supabase,PostgreSQL;Redis;SQLite;Supabase,Amazon Web Services (AWS);Docker;Google Cloud;Kubernetes;Maven (build tool);npm;Pip;pnpm;Supabase,Amazon Web Services (AWS);Docker;Google Cloud;Pip;pnpm,,,,,,
20273,Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Python,Bash/Shell (all shells);C#;C++;HTML/CSS;Python,MySQL;SQLite,MySQL;SQLite,,,Django;Flask;jQuery,Django;jQuery,Sublime Text;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);openAI GPT (chatbot models),openAI GPT (chatbot models)
20274,Ada;C++;Elixir;Erlang;GDScript;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;Ruby;Rust;SQL;Swift;TypeScript;Visual Basic (.Net),Ada;C++;Elixir;Erlang;GDScript;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;Ruby;SQL;Swift;TypeScript;Visual Basic (.Net),BigQuery;Cloud Firestore;Cosmos DB;Databricks SQL;Datomic;DuckDB;Dynamodb;Firebase Realtime Database;IBM DB2;Microsoft Access;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Snowflake;SQLite;Supabase;Amazon Redshift;Pocketbase,Databricks SQL;Datomic;DuckDB;Dynamodb;Firebase Realtime Database;IBM DB2;Microsoft Access;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Snowflake;SQLite;Supabase;Amazon Redshift;Pocketbase,Homebrew;IBM Cloud;Kubernetes;Make;Maven (build tool);Microsoft Azure;MSBuild;Netlify;npm;NuGet;Pacman;Pip;pnpm;Podman;Poetry;Supabase;Terraform;Vercel;Webpack;Yandex Cloud;Yarn,,Angular;AngularJS;ASP.NET;ASP.NET Core;Astro;Blazor;Django;Drupal;Express;FastAPI;Fastify;jQuery;NestJS;Next.js;Node.js;Nuxt.js;Phoenix;React;Ruby on Rails;Spring Boot;WordPress,,,,,
20275,Bash/Shell (all shells);C;C++;Java;Python;Rust,Bash/Shell (all shells);C;Java;Python;Rust,,,,,Flask,FastAPI,IntelliJ IDEA;Nano;Notepad++;PyCharm;Vim;Visual Studio Code,IntelliJ IDEA;Notepad++;PyCharm;RustRover;Vim,,
20276,HTML/CSS;JavaScript;TypeScript,Go,Cloud Firestore;Elasticsearch;Firebase Realtime Database,,Datadog;Docker;Firebase;Google Cloud;Kubernetes;npm;Vite;Webpack,,Angular;React,,,,,
20277,,,,,,,,,,,,
20278,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Kotlin;MicroPython;Python;SQL;TypeScript,MySQL;PostgreSQL;SQLite,MongoDB;PostgreSQL;Redis;SQLite,Docker;Google Cloud;npm;Pacman;Pip;Yarn,Amazon Web Services (AWS);Docker;Google Cloud;Heroku;Kubernetes;npm;Pacman;Pip;Yarn,Django;FastAPI;Flask;Node.js;React,Angular;Django;FastAPI;Flask;Node.js;React,Visual Studio Code,Visual Studio Code;Windsurf;Zed,openAI GPT (chatbot models);openAI Reasoning models,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Reasoning models
20279,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,,PostgreSQL,,Amazon Web Services (AWS);APT;Cargo;Datadog;Docker;Kubernetes;Pip;Webpack;Yarn,,Flask;React;Axum,,,,,
20280,,,,,,,,,,,,
20281,,,,,,,,,,,,
20282,HTML/CSS;JavaScript;PHP,HTML/CSS;JavaScript;PHP;TypeScript,,,,,jQuery;WordPress,Laravel;React;Vue.js;WordPress,Visual Studio Code,Visual Studio Code,,
20283,HTML/CSS;JavaScript;TypeScript,Go;Ruby;Rust;Swift,,,Cloudflare;Docker;Firebase;Google Cloud;Netlify;npm;Supabase;Vercel;Vite;Webpack,Digital Ocean;Heroku;pnpm;Yarn,Next.js;Nuxt.js;React;Vue.js,Express;Node.js;Ruby on Rails;Svelte,Cursor;Visual Studio Code,WebStorm,,
20284,Dart;HTML/CSS;Python;Rust;SQL,HTML/CSS;Python;Rust;SQL,MySQL;PostgreSQL,PostgreSQL;SQLite,APT;Bun;Cargo;Cloudflare;Docker;Kubernetes;npm;Pacman;Pip;Podman;Yarn,APT;Bun;Cargo;Cloudflare;npm;Podman;Yarn,Angular;jQuery;Next.js;Node.js;Nuxt.js;Vue.js,Next.js;Node.js;Nuxt.js,Android Studio;Nano;Neovim;Visual Studio Code;Windsurf;Zed,Visual Studio Code,Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);Mistral AI models,Gemini (Flash general purpose models);Gemini (Pro Reasoning models);Meta Llama (all models);Microsoft Phi-4 models
20285,,,,,,,,,,,,
20286,,,,,,,,,,,,
20287,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;SQL;TypeScript,MySQL;PostgreSQL;Redis;SQLite,PostgreSQL;Redis,Amazon Web Services (AWS);Datadog;Docker;Heroku;Homebrew;npm;Pip;pnpm;Vite,Amazon Web Services (AWS);Bun;Datadog;Docker;Homebrew;Vite,Deno;React;Svelte;WordPress,Deno,Visual Studio Code,Visual Studio Code,openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models
20288,Assembly;Bash/Shell (all shells);C;MATLAB;PowerShell;Python;Rust;SQL,,MongoDB;MySQL;PostgreSQL;SQLite,,Cargo;Docker;Make,,,,Sublime Text;Visual Studio Code,,,
20289,,,,,,,,,,,,
20290,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server;MongoDB,,,ASP.NET;jQuery,ASP.NET;ASP.NET Core;Blazor;jQuery,Notepad++;Sublime Text;Visual Studio,Notepad++;Sublime Text;Visual Studio,openAI GPT (chatbot models),openAI GPT (chatbot models)
20291,,,,,,,,,,,,
20292,Assembly;Bash/Shell (all shells);C;C++;Elixir;Erlang;GDScript;Go;HTML/CSS;JavaScript;Kotlin;Lisp;Lua;OCaml;Rust;SQL;Zig;Gleam,Assembly;Bash/Shell (all shells);C;Elixir;Erlang;GDScript;Lua;OCaml;Rust;SQL;Gleam,Elasticsearch;MySQL;Redis;SQLite,Elasticsearch;MySQL;SQLite,Cargo;Chocolatey;Docker;npm;Pacman;Vite,Cargo;Docker;Pacman,Deno;jQuery;Svelte;Axum,Deno;Svelte;Axum,,,,
20293,C++;Java;Python;Rust;Scala,C++;Python;Rust,InfluxDB;MariaDB,Snowflake;Clickhouse,APT;Docker;Gradle;Kubernetes;Make;Ninja;Pip;Poetry;Prometheus;Yarn,Docker;Kubernetes;Ninja;Pip;Prometheus,React,React,IntelliJ IDEA;PyCharm,IntelliJ IDEA;PyCharm,openAI GPT (chatbot models),openAI GPT (chatbot models)
20294,Bash/Shell (all shells);C;GDScript;Go;HTML/CSS;JavaScript;Lua;MATLAB;OCaml;Python;Rust;SQL,Assembly;C;GDScript;HTML/CSS;JavaScript;OCaml;Python;Rust,PostgreSQL;SQLite;Valkey,PostgreSQL;SQLite,Cargo;Cloudflare;Kubernetes;Make;Ninja;npm;Pacman;Pip;pnpm;Prometheus;Vite;Yarn,Cargo;Pacman;pnpm;Prometheus,Svelte;Axum,Deno;Svelte;Axum,Neovim;Visual Studio Code;VSCodium;Zed,Neovim;VSCodium,,
20295,,,,,,,,,,,,
20296,,,,,,,,,,,,
20297,C#;SQL,C#,Microsoft Access;Microsoft SQL Server;Oracle,,Amazon Web Services (AWS);NuGet;Terraform,,ASP.NET;ASP.NET Core,ASP.NET;ASP.NET Core,,,,
20298,C#;HTML/CSS;SQL;Visual Basic (.Net),,Microsoft Access;Microsoft SQL Server,,,,ASP.NET,,Visual Studio;Visual Studio Code,,,
20299,JavaScript;TypeScript,JavaScript;TypeScript,,,npm;pnpm,pnpm,React,React,Visual Studio Code;WebStorm,Cursor;Visual Studio Code;WebStorm,,
20300,Assembly;Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;Lua;PowerShell;Python;Rust;SQL;TypeScript;Zig,Assembly;Bash/Shell (all shells);C;C#;C++;Elixir;Erlang;F#;GDScript;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;OCaml;Python;Rust;SQL;TypeScript;Zig,Microsoft SQL Server;SQLite,Cloud Firestore;MariaDB;Microsoft SQL Server;PostgreSQL;SQLite;Supabase,APT;Bun;Cargo;Make;Microsoft Azure;MSBuild;Ninja;npm;NuGet;Pip;pnpm;Podman;Vite;Yarn,Bun;Cargo;Make;Ninja;npm;Pacman;Pip;pnpm;Podman;Supabase;Vite;Yarn,Angular;ASP.NET;ASP.NET Core;Node.js,ASP.NET Core;Next.js;Node.js;React;Svelte,Neovim;Notepad++;Sublime Text;Vim;Visual Studio;Visual Studio Code;VSCodium,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Neovim;Vim;Visual Studio Code,,
20301,,,,,,,,,,,,
20302,,,,,,,,,,,,
20303,,,,,,,,,,,,
20304,HTML/CSS;JavaScript;PHP;Python;TypeScript,,MariaDB;MongoDB;MySQL;PostgreSQL,,,,Express;Laravel;Node.js;Nuxt.js;React;Symfony;Vue.js;WordPress,,Cursor;Visual Studio Code;Xcode,Cline and/or Roo,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models;Perplexity Sonar models,
20305,C#;HTML/CSS;JavaScript;Python;SQL;Visual Basic (.Net),C#;C++;Python;Rust;SQL;TypeScript,Microsoft Access;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite,InfluxDB;PostgreSQL;SQLite,Chocolatey;Docker;Make;Ninja;npm;Pip;Vite,Docker;Make;pnpm;Poetry;Vercel;Vite,Blazor;Django;Flask;Vue.js,Django;Svelte,Visual Studio Code,Sublime Text;Visual Studio Code;Zed,,
20306,JavaScript;PowerShell;Python;SQL;TypeScript,JavaScript;Python;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Redis,PostgreSQL;Redis,Amazon Web Services (AWS);Chocolatey;Docker;Google Cloud;Microsoft Azure;npm;Pip,Amazon Web Services (AWS);Chocolatey;Docker;npm;Pip,Angular;Django;Next.js;Node.js;React;Vue.js,Django;Next.js;Node.js;React;Vue.js,,,,
20307,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Cosmos DB;Microsoft SQL Server,Cosmos DB;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite,Chocolatey;Docker;Make;Microsoft Azure;MSBuild;npm;NuGet;Terraform;Vite,Microsoft Azure;MSBuild;npm;NuGet;Vite,ASP.NET;Node.js;React,ASP.NET;Node.js;React;Vue.js,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Mistral AI models;openAI GPT (chatbot models),Mistral AI models;openAI GPT (chatbot models)
20308,,,,,,,,,,,,
20309,C#;JavaScript;Python;SQL;TypeScript,,Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,,Ansible;Docker;Microsoft Azure;MSBuild;NuGet;Pip;pnpm;Vite,,ASP.NET Core;Blazor;Django;Express;FastAPI;React,,Neovim;Notepad++;Rider;Vim;Visual Studio;Visual Studio Code,,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models,
20310,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Scala;SQL,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Scala;SQL,H2;PostgreSQL,H2;PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Docker;Heroku;Maven (build tool);npm;Vite;Webpack,Amazon Web Services (AWS);Digital Ocean;Docker;Heroku;Maven (build tool);npm;Vite;Webpack,Express;Node.js;React;Spring Boot,Express;Node.js;React;Spring Boot,IntelliJ IDEA;Neovim,IntelliJ IDEA;Neovim,,
20311,,,,,,,,,,,,
20312,JavaScript;Python;SQL;TypeScript,JavaScript;SQL;TypeScript,PostgreSQL;SQLite,PostgreSQL;SQLite,,,Express;Next.js;Node.js;React,Express;Node.js;React,IntelliJ IDEA;Visual Studio Code,Visual Studio Code,openAI GPT (chatbot models),openAI GPT (chatbot models)
20313,,,,,,,,,,,,
20314,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Cosmos DB;Microsoft SQL Server,Cosmos DB;Microsoft SQL Server;SQLite,Docker;Firebase;Google Cloud;Gradle;Homebrew;Microsoft Azure;npm;NuGet;Vite;Webpack;Yarn,Docker;Firebase;Google Cloud;Gradle;Homebrew;Microsoft Azure;npm;NuGet;Vite;Webpack,Angular;ASP.NET Core;Node.js;React,Angular;ASP.NET Core;Node.js;React,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Android Studio;Notepad++;Visual Studio;Visual Studio Code,,
20315,Bash/Shell (all shells);C#;Dart;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Microsoft SQL Server;MySQL;SQLite,Microsoft SQL Server;MySQL;SQLite,Composer;Digital Ocean;Docker;Microsoft Azure;npm;NuGet;Pip;Terraform,Composer;Digital Ocean;Kubernetes;Microsoft Azure;npm;NuGet;Pip;Prometheus;Terraform,Angular;ASP.NET Core;Blazor;Django;Laravel;WordPress,Angular;ASP.NET Core;Laravel;Svelte;Vue.js,Android Studio;Jupyter Notebook/JupyterLab;PhpStorm;PyCharm;Visual Studio;Visual Studio Code;WebStorm;Xcode,PhpStorm;PyCharm;Rider;Visual Studio;Visual Studio Code,,
20316,Bash/Shell (all shells);C#;C++;Java;PowerShell;Python,Bash/Shell (all shells);C#;C++;Go;Python;Rust,H2;SQLite,PostgreSQL;SQLite,,,,,Claude Code;IntelliJ IDEA;Nano;Notepad++;PyCharm;Sublime Text;Vim;Visual Studio Code,Nano;Neovim;PyCharm;RustRover;Sublime Text;Visual Studio Code,Anthropic: Claude Sonnet;Meta Llama (all models);Microsoft Phi-4 models;openAI GPT (chatbot models);X Grok models,Anthropic: Claude Sonnet;openAI GPT (chatbot models)
20317,Bash/Shell (all shells);C#;C++;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;C++;JavaScript;PowerShell;Python;SQL;TypeScript,Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Amazon Web Services (AWS);Docker;Microsoft Azure;npm;NuGet;Yarn,Docker;Microsoft Azure;npm;NuGet;Yarn,Angular;ASP.NET;ASP.NET Core;Blazor,Angular;ASP.NET;ASP.NET Core;Blazor,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,,
20318,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Perl;Python,Bash/Shell (all shells);C;C#;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;MicroPython;Perl;PHP;Python;Rust;SQL;TypeScript,,,NuGet,Docker;Kubernetes,,,Notepad++;Vim,Android Studio;Eclipse;IntelliJ IDEA;Vim,,
20319,,,,,,,,,,,,
20320,Dart;HTML/CSS;Java;JavaScript;Kotlin;MicroPython;PHP;SQL;TypeScript;VBA,,Cloud Firestore;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite,,Amazon Web Services (AWS);Composer;Digital Ocean;Firebase;Google Cloud;Microsoft Azure,,Angular;AngularJS;Express;jQuery;Laravel;NestJS;Next.js;Node.js;React;WordPress,,Android Studio;Notepad++;Sublime Text;Vim;Visual Studio Code,,,
20321,Go;JavaScript;TypeScript,C;C++;Elixir;Erlang;Go;Java;JavaScript;TypeScript;Gleam,MongoDB;MySQL;Redis,MongoDB;MySQL;PostgreSQL;Redis,npm;Vite;Webpack;Yarn,Amazon Web Services (AWS);Bun;Datadog;Google Cloud;Kubernetes;Railway;Vite;Yarn,Express;NestJS;Next.js;Node.js;React,Deno;Express;NestJS;Next.js;Node.js;React;Spring Boot;Svelte;Vue.js,Lovable.dev;Neovim;Sublime Text;Vim;Visual Studio Code,Cursor;Lovable.dev;Neovim;Sublime Text;Vim,openAI GPT (chatbot models),
20322,,,,,,,,,,,,
20323,Java;Kotlin;Python,Java;Kotlin;Python,BigQuery;Oracle;PostgreSQL,BigQuery;MongoDB;PostgreSQL,Amazon Web Services (AWS);Docker;Google Cloud;Gradle;Maven (build tool);pnpm,Amazon Web Services (AWS);Docker;Google Cloud;Gradle;Maven (build tool),Spring Boot,Spring Boot,,,,
20324,Bash/Shell (all shells);Kotlin;Python,Bash/Shell (all shells);C;C++;Perl;Zig,,,Cloudflare;Make;Podman,Make;Podman,,,Neovim;Vim,Neovim;Vim,,
20325,,,,,,,,,,,,
20326,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;MATLAB;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;Python;Rust;SQL;TypeScript,Elasticsearch;InfluxDB;Microsoft SQL Server,Elasticsearch;InfluxDB;Microsoft SQL Server,Docker;Kubernetes;Microsoft Azure;MSBuild;npm;NuGet;Pip;Terraform;Vite,Docker;Kubernetes;npm;NuGet;Pip;Vite,ASP.NET;ASP.NET Core;Django;Flask;Node.js;Vue.js,ASP.NET;ASP.NET Core;Node.js;Svelte;Vue.js,Jupyter Notebook/JupyterLab;Nano;Notepad++;Vim;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Meta Llama (all models);openAI GPT (chatbot models),Meta Llama (all models);openAI GPT (chatbot models)
20327,,,,,,,,,,,,
20328,,,,,,,,,,,,
20329,,,,,,,,,,,,
20330,Bash/Shell (all shells);C;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;TypeScript,Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;Kotlin;Ruby,PostgreSQL;SQLite,PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);APT;Bun;Docker;Heroku;Make;Netlify;New Relic;npm;Pip;pnpm;Vite;Webpack;Yarn,APT;Bun,Deno;jQuery;Nuxt.js;React;Ruby on Rails;Symfony;Vue.js;WordPress,jQuery;Ruby on Rails,Neovim;Vim;Visual Studio;Visual Studio Code;VSCodium,Neovim;Vim,,
20331,,,,,,,,,,,,
20332,Python,Python,,,,,,,,,,
20333,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,BigQuery;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,BigQuery;Cloud Firestore;Dynamodb;Elasticsearch;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Cloudflare;Composer;Digital Ocean;Docker;Homebrew;npm;Pip;Vite;Yarn,Cloudflare;Composer;Digital Ocean;Docker;Firebase;Google Cloud;Heroku;Homebrew;IBM Cloud;npm;Pip;Vite;Yarn,jQuery;Laravel;Node.js;React;Vue.js,Django;FastAPI;jQuery;Laravel;NestJS;Next.js;Node.js;Nuxt.js;React;Svelte;Vue.js,PhpStorm;Visual Studio Code,PhpStorm;Visual Studio Code,,
20334,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL,,Databricks SQL;Elasticsearch;H2;IBM DB2;InfluxDB;Microsoft SQL Server;PostgreSQL;Redis,,Docker;Kubernetes;Maven (build tool);Microsoft Azure;Pip;Poetry;Prometheus;Splunk;Terraform;Vercel,,Django;Next.js;Spring Boot,,IntelliJ IDEA;Notepad++;PyCharm;Vim;Visual Studio Code;WebStorm,,openAI GPT (chatbot models),
20335,Ada;COBOL;Dart;Delphi;Elixir;Erlang;F#;Lisp;Lua;MATLAB;PowerShell;Prolog;Python;R;Rust;Scala;TypeScript;Zig;Mojo;Gleam,Ada;Assembly;Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;Kotlin;MicroPython;OCaml;PHP;Ruby;SQL;Swift;VBA;Visual Basic (.Net),Datomic;DuckDB;Dynamodb;Elasticsearch;H2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;Neo4J;Oracle;PostgreSQL;Redis;Snowflake;SQLite;Supabase;Clickhouse;Cockroachdb;Amazon Redshift;Pocketbase;Valkey,BigQuery;Cassandra;Cloud Firestore;Cosmos DB;Databricks SQL;Datomic;DuckDB;Dynamodb;Elasticsearch;Firebase Realtime Database;H2;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;PostgreSQL,,,WordPress,AngularJS;FastAPI;jQuery;Next.js;Node.js;Ruby on Rails;WordPress,Notepad++;Visual Studio;Visual Studio Code;VSCodium,Visual Studio;Visual Studio Code;VSCodium,,
20336,Bash/Shell (all shells);Go;JavaScript;Python;TypeScript,Bash/Shell (all shells);Go,Elasticsearch;PostgreSQL;Redis,Databricks SQL;PostgreSQL;Redis,Composer;Docker;Homebrew;Kubernetes;Microsoft Azure;npm;Poetry;Terraform;Yarn,Composer;Docker;Homebrew;Kubernetes;Microsoft Azure;Terraform,FastAPI;NestJS;Next.js;Node.js,,PyCharm;Visual Studio Code,Visual Studio Code,Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);openAI GPT (chatbot models),Anthropic: Claude Sonnet;DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models
20337,,,,,,,,,,,,
20338,HTML/CSS;JavaScript;TypeScript,Go;HTML/CSS;TypeScript,Databricks SQL;MongoDB;PostgreSQL;Redis;SQLite,MongoDB;PostgreSQL;Redis;SQLite,APT;Docker;Firebase;Kubernetes;npm;pnpm;Vercel;Vite;Webpack;Yarn,APT;Docker;Firebase;Kubernetes;Netlify;npm;pnpm;Vercel;Vite,Express;Fastify;Next.js;Node.js;React,Astro;Deno;Fastify;Next.js;Node.js;React;Svelte,Visual Studio Code;Windsurf;Zed,Visual Studio Code;Windsurf;Zed,Anthropic: Claude Sonnet;Gemini (Flash general purpose models);openAI GPT (chatbot models),Anthropic: Claude Sonnet
20339,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Kotlin;PHP;PowerShell;Python;SQL,C#;PowerShell,Oracle,,APT;Composer;Gradle;NuGet;Pip;Podman;Supabase,NuGet,,,Android Studio;Cursor;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio;Visual Studio Code;Windsurf,Claude Code;Cursor;Notepad++;Visual Studio;Windsurf,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Reasoning models,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Reasoning models
20340,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;Kotlin;Python;Zig,H2;MariaDB;MySQL;Oracle;PostgreSQL;Redis,H2;PostgreSQL,,,Django;Drupal;jQuery;Spring Boot;Symfony,Angular;Django;Flask;jQuery;React;Spring Boot;Vue.js,Eclipse;Nano;Neovim;Notepad++;PyCharm;Sublime Text;Vim;Visual Studio Code,Eclipse;IntelliJ IDEA;Nano;Neovim,openAI Image generating models;openAI Reasoning models,
20341,Python;Rust;SQL,C;C++;Python;Rust;SQL,,,Docker,Docker,,,Visual Studio Code,Visual Studio Code,,
20342,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;VBA;Visual Basic (.Net),Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,Microsoft SQL Server,Microsoft SQL Server,,,AngularJS;ASP.NET;jQuery;React,ASP.NET;jQuery;React,Visual Studio,Visual Studio,,
20343,,,,,,,,,,,,
20344,,,,,,,,,,,,
20345,,,,,,,,,,,,
20346,C++;Lua;Python,C++;MicroPython;Python;Rust;VBA,,,,,Flask,,Vim;Visual Studio;Visual Studio Code,Vim;Visual Studio;Visual Studio Code,,
20347,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;SQL,,Elasticsearch;MySQL;PostgreSQL;Redis,,Cloudflare;Docker;Google Cloud;Homebrew;Kubernetes;npm;Webpack;Yarn,,Ruby on Rails,React,Xcode,,DeepSeek (R- Reasoning models);DeepSeek (V- General purpose models);Gemini (Flash general purpose models);Gemini (Pro Reasoning models);openAI GPT (chatbot models);openAI Image generating models;openAI Reasoning models;Perplexity Sonar models;X Grok models,
20348,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,Microsoft SQL Server;PostgreSQL,Microsoft SQL Server;PostgreSQL;Redis,Docker;Microsoft Azure;MSBuild;npm;NuGet;Pip;Podman;Terraform;Webpack;Yarn,Docker;Microsoft Azure;MSBuild;npm;NuGet;Pip;Podman;Terraform;Webpack;Yarn,ASP.NET Core;Express;Node.js;React,ASP.NET Core;Express;Node.js;React,Cursor;Rider;Visual Studio Code;Windsurf,Cursor;Visual Studio Code;Windsurf,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Reasoning models,Anthropic: Claude Sonnet;openAI GPT (chatbot models);openAI Reasoning models
